time,Distance,Speed_RL,Speed_FR,Speed_FL,Speed_RR,BP_F,BP_R,LateralAcc,InlineAcc,VerticalAcc,PitchRate,RollRate,YawRate,RPM,TPS,IAT,BT_FR_L,BT_FR_R,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Altitude,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,61.631794,27.315790,28.483343,57.945507,0.504742,0.465366,-0.059777,1.049846,-0.694080,-1.598332,-5.263231,13.352942,9326.863281,100.000000,21.000000,-0.000015,-0.000015,28.100000,11.000000,0.082215,0.894164,1.530003,-6.852164,6.303359,115.000000,49.330161454988,8.564073214370,115.27
0.010,0.000,61.405079,27.669876,28.801941,58.036514,0.515237,0.467632,0.026753,0.863615,-0.792730,-0.063868,-4.785751,13.020222,9322.925781,100.000000,21.000000,-0.000015,-0.000015,28.410000,11.000000,0.086357,0.896394,1.497344,-6.707778,6.511915,115.000000,49.330162185572,8.564072996302,115.27
0.020,0.000,61.178368,28.023962,29.120537,58.127522,0.512904,0.476127,0.113283,0.677384,-0.891379,1.470596,-4.308272,12.687501,9318.988281,100.000000,21.000000,-0.000015,-0.000015,28.720001,11.000000,0.090500,0.898625,1.464686,-6.563393,6.720472,115.000000,49.330162968336,8.564072775374,115.27
0.030,0.000,60.951653,28.378050,29.439135,58.218529,0.518152,0.471030,0.177215,0.886503,-1.007501,-0.236820,-6.289669,12.545957,9315.051758,100.000000,21.000000,-0.000015,-0.000015,29.030001,11.000000,0.094643,0.900856,1.432027,-6.419008,6.929029,115.000000,49.330163764146,8.564072553731,115.27
0.040,0.000,60.724941,28.732136,29.757730,58.309536,0.522816,0.476693,0.241147,1.095621,-1.123623,-1.944235,-8.271067,12.404412,9311.114258,100.000000,21.000000,-0.000015,-0.000015,29.340000,11.000000,0.098785,0.903086,1.399369,-6.274622,7.137585,115.000000,49.330164559956,8.564072332088,115.27
0.050,0.000,60.498226,29.086222,30.076328,58.400543,0.515820,0.478958,0.183741,0.947216,-0.971974,-0.596174,-4.651371,12.761030,9307.176758,100.000000,21.000000,-0.000015,-0.000015,29.650002,11.000000,0.102928,0.905317,1.366710,-6.130237,7.346142,115.000000,49.330165355766,8.564072110445,115.28
0.060,0.001,60.470646,29.340364,30.414612,58.405819,0.527480,0.477259,0.126335,0.798810,-0.820324,0.751886,-1.031676,13.117647,9303.239258,100.000000,21.000000,-0.000015,-0.000015,29.960001,11.000000,0.107070,0.907548,1.334051,-5.985852,7.554698,115.000000,49.330166151576,8.564071888802,115.28
0.070,0.001,60.443066,29.594507,30.752893,58.411095,0.529229,0.477259,0.059907,0.907062,-0.780563,0.253210,-2.046677,14.161765,9299.301758,100.000000,21.000000,-0.000015,-0.000015,30.270000,11.000000,0.111213,0.909778,1.301393,-5.841466,7.763255,115.000000,49.330166947386,8.564071667159,115.28
0.080,0.001,60.415485,29.848650,31.091177,58.416370,0.523982,0.474428,-0.006520,1.015314,-0.740801,-0.245467,-3.061679,15.205883,9295.365234,100.000000,21.000000,-0.000015,-0.000015,30.580000,11.000000,0.115356,0.912009,1.268734,-5.697081,7.971811,115.000000,49.330167772490,8.564071448569,115.28
0.090,0.001,60.387905,30.102793,31.429459,58.421646,0.518152,0.474994,0.005241,0.891693,-1.016797,-0.232015,-0.711450,15.994486,9291.427734,100.000000,21.000000,-0.000015,-0.000015,30.890001,11.000000,0.119498,0.914239,1.236076,-5.552696,8.180368,115.000000,49.330168626887,8.564071233030,115.29
