"Format","MoTeC CSV File"
"Venue","None"
"Vehicle","None"
"User","None"
"Data Source","AIM Data Logger"
"Comment",""
"Date","07/29/21"
"Time","10:17:04"
"Sample Rate","10"
"Duration","223.813"
"Segment","Lap 1 - 3:43.813"

"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"0.000","0.000","31.921860","14.304000","0.064492","0.002288","-0.984387","0.209234","0.447390","0.381505","65.687347","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.599872","0.000000","0.000000","343.099915","362.699982","25.898832","2.499567","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","106.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","13.985976","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221198724090","14.761077114040","574.93"
"0.100","0.000","31.921860","14.299113","0.062985","0.004648","-0.988288","0.254435","0.479674","0.421087","65.687347","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.599872","0.000000","0.000000","343.099915","362.699982","25.898832","2.499567","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","106.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","13.985976","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221188650932","14.761075326254","576.66"
"0.200","0.000","31.921860","14.294227","0.064019","0.005177","-0.981938","0.355922","0.517339","0.448300","65.687347","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.599872","0.000000","0.000000","343.099915","362.699982","25.898832","2.459907","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","106.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","13.985976","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221178577775","14.761073538469","578.38"
"0.300","0.000","31.921860","14.289340","0.063200","0.002237","-0.982917","0.332896","0.532136","0.416139","64.600044","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.519598","0.000000","0.000000","343.099915","362.699982","25.898832","2.499567","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","106.000000","0.000000","0.000000","99.000000","0.000000","1.992927","0.999989","100.000000","27.000000","14.039166","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221168504617","14.761071750684","580.11"
"0.400","0.000","31.921860","14.284453","0.066215","0.004470","-0.983951","0.267227","0.498507","0.386453","63.798195","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.739913","0.000000","0.000000","343.099915","362.617188","25.898832","2.579890","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","106.000000","0.000000","0.000000","99.000000","0.000000","1.956565","0.999989","100.000000","27.000000","14.102995","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221158431459","14.761069962898","581.83"
"0.500","0.000","31.921860","14.279566","0.062813","0.004470","-0.981938","0.251876","0.472948","0.416139","66.221046","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.399689","0.000000","0.000000","343.099915","362.699982","25.898832","2.599971","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.929276","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.139207","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221148358302","14.761068175113","583.56"
"0.600","0.000","31.921860","14.274631","0.065143","0.004486","-0.983877","0.350208","0.507048","0.411192","67.934341","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.707721","0.000000","0.000000","343.099915","362.633148","25.799351","2.799776","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.089081","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.110903","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221138184412","14.761066369450","585.30"
"0.700","0.000","31.921860","14.269744","0.062240","0.002360","-0.982937","0.273453","0.442614","0.428261","68.874855","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.199506","0.000000","0.000000","343.099915","362.640503","25.898832","2.899678","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.899963","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.112848","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221128111255","14.761064581664","587.03"
"0.800","0.000","31.921860","14.264857","0.063386","0.004568","-0.983407","0.283943","0.561125","0.398575","68.968445","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.329903","0.000000","0.000000","343.099915","362.646942","25.898832","2.597963","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.139475","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221118038097","14.761062793879","588.75"
"0.900","0.000","31.921860","14.259971","0.064553","0.003909","-0.985782","0.331360","0.444161","0.399317","66.211967","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.699483","0.000000","0.000000","343.099915","362.599945","25.898832","2.308096","3.840000","655.349976","364.199768","344.099976","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.001114","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.109632","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.221107964939","14.761061006093","590.48"
