time,RPM dup 1,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Gear,RPM dup 2,TPS
0.000,0.000000,0.016979,0.102975,-0.970243,2.798294,1.819241,9.234162,0.000000,0.000000,0.000000
0.010,0.000000,0.011974,0.115561,-0.965102,2.637809,1.819241,9.284363,0.000000,0.000000,0.000000
0.020,0.000000,0.006969,0.128146,-0.959961,2.477324,1.819241,9.334562,0.000000,0.000000,0.000000
0.030,0.000000,0.018480,0.131579,-0.978050,2.687752,1.924079,9.423628,0.000000,0.000000,0.000000
0.040,0.000000,0.029992,0.135011,-0.996138,2.898181,2.028916,9.512692,0.000000,0.000000,0.000000
0.050,0.000000,0.038973,0.131579,-1.004924,3.303056,2.184182,9.653578,0.000000,0.000000,0.000000
0.060,0.000000,0.047955,0.128146,-1.013710,3.707932,2.339448,9.794462,0.000000,0.000000,0.000000
0.070,0.000000,0.031966,0.149886,-0.990018,3.512819,2.618130,9.810656,0.000000,0.000000,0.000000
0.080,0.000000,0.015978,0.171625,-0.966326,3.317706,2.896812,9.826849,0.000000,0.000000,0.000000
0.090,0.000000,0.018480,0.178490,-0.976826,3.163214,2.757471,9.987165,0.000000,0.000000,0.000000
0.100,0.000000,0.020983,0.185355,-0.987325,3.008723,2.618130,10.147483,0.000000,0.000000,0.000000
0.110,0.000000,0.018981,0.146453,-0.986835,3.058666,2.688464,10.194445,0.000000,0.000000,0.000000
0.120,0.000000,0.016979,0.107551,-0.986346,3.108609,2.758798,10.241406,0.000000,0.000000,0.000000
0.130,0.000000,0.016478,0.112404,-0.998069,3.127921,2.373951,10.366097,0.000000,0.000000,0.000000
0.140,0.000000,0.015978,0.117257,-1.009793,3.147233,1.989105,10.490788,0.000000,0.000000,0.000000
0.150,0.000000,0.017980,0.123320,-1.010282,2.937470,1.989105,10.506982,0.000000,0.000000,0.000000
0.160,0.000000,0.019982,0.129383,-1.010772,2.727707,1.989105,10.523175,0.000000,0.000000,0.000000
0.170,0.000000,0.024987,0.137694,-1.017599,2.708395,1.798008,10.542608,0.000000,0.000000,0.000000
0.180,0.000000,0.029992,0.146006,-1.024427,2.689084,1.606912,10.562040,0.000000,0.000000,0.000000
0.190,0.000000,0.025988,0.155694,-1.011262,2.848903,1.991759,10.576614,0.000000,0.000000,0.000000
0.200,0.000000,0.021984,0.165382,-0.998097,3.008723,2.376606,10.591188,0.000000,0.000000,0.000000
0.210,0.000000,0.020983,0.163871,-0.993690,3.163214,2.306272,10.856764,0.000000,0.000000,0.000000
0.220,0.000000,0.019982,0.162360,-0.989284,3.317706,2.235937,11.122340,0.000000,0.000000,0.000000
0.230,0.000000,0.015978,0.151642,-0.980743,3.388293,2.271768,11.102907,0.000000,0.000000,0.000000
0.240,0.000000,0.011974,0.140924,-0.972202,3.458880,2.307599,11.083475,0.000000,0.000000,0.000000
0.250,0.000000,0.013475,0.135107,-0.977560,3.493507,2.168257,11.068901,0.000000,0.000000,0.000000
0.260,0.000000,0.014977,0.129290,-0.982919,3.528135,2.028916,11.054327,0.000000,0.000000,0.000000
0.270,0.000000,0.022957,0.125290,-0.988549,3.528135,1.693171,11.174160,0.000000,0.000000,0.000000
0.280,0.000000,0.030937,0.121290,-0.994180,3.528135,1.357425,11.293993,0.000000,0.000000,0.000000
0.290,0.000000,0.033440,0.112498,-0.992221,3.023373,1.588333,11.208166,0.000000,0.000000,0.000000
0.300,0.000000,0.035942,0.103707,-0.990263,2.518610,1.819241,11.122340,0.000000,0.000000,0.000000
0.310,0.000000,0.027962,0.102753,-0.992711,2.587865,1.853745,11.263225,0.000000,0.000000,0.000000
0.320,0.000000,0.019982,0.101799,-0.995159,2.657120,1.888248,11.404109,0.000000,0.000000,0.000000
0.330,0.000000,0.026461,0.117578,-0.995649,2.742357,2.217359,11.315044,0.000000,0.000000,0.000000
0.340,0.000000,0.032939,0.133356,-0.996138,2.827594,2.546469,11.225980,0.000000,0.000000,0.000000
0.350,0.000000,0.038445,0.146893,-1.013710,3.163214,2.427034,11.350671,0.000000,0.000000,0.000000
0.360,0.000000,0.043951,0.160430,-1.031281,3.498835,2.307599,11.475362,0.000000,0.000000,0.000000
0.370,0.000000,0.035219,0.152783,-1.012105,3.113937,2.437650,11.360387,0.000000,0.000000,0.000000
0.380,0.000000,0.026488,0.145136,-0.992928,2.729039,2.567702,11.245412,0.000000,0.000000,0.000000
0.390,0.000000,0.024236,0.130573,-0.978050,2.771657,2.533198,11.200069,0.000000,0.000000,0.000000
0.400,0.000000,0.021984,0.116010,-0.963171,2.814276,2.498695,11.154727,0.000000,0.000000,0.000000
0.410,0.000000,0.023736,0.115306,-0.967441,3.093959,2.464191,11.200069,0.000000,0.000000,0.000000
0.420,0.000000,0.025487,0.114602,-0.971712,3.373643,2.429688,11.245412,0.000000,0.000000,0.000000
0.430,0.000000,0.027462,0.121201,-0.981967,3.313711,2.331486,11.255128,0.000000,0.000000,0.000000
0.440,0.000000,0.029436,0.127800,-0.992221,3.253778,2.233283,11.264844,0.000000,0.000000,0.000000
0.450,0.000000,0.028685,0.129520,-0.984415,2.886194,2.216032,11.166063,0.000000,0.000000,0.000000
0.460,0.000000,0.027934,0.131240,-0.976608,2.518610,2.198780,11.067282,0.000000,0.000000,0.000000
0.470,0.000000,0.025460,0.131816,-0.977832,2.578542,2.162949,11.075378,0.000000,0.000000,0.000000
0.480,0.000000,0.022985,0.132392,-0.979056,2.638475,2.127119,11.083475,0.000000,0.000000,0.000000
0.490,0.000000,0.026961,0.135207,-0.992711,2.778316,2.285038,11.164444,0.000000,0.000000,0.000000
0.500,0.000000,0.030937,0.138023,-1.006366,2.918158,2.442958,11.245412,0.000000,0.000000,0.000000
0.510,0.000000,0.029964,0.137060,-1.006610,2.893519,2.575664,11.289135,0.000000,0.000000,0.000000
0.520,0.000000,0.028991,0.136097,-1.006855,2.868881,2.708370,11.332857,0.000000,0.000000,0.000000
0.530,0.000000,0.023485,0.128089,-1.003354,2.953851,2.718588,11.361358,0.000000,0.000000,0.000000
0.540,0.000000,0.018755,0.120984,-1.000273,3.025903,2.716465,11.379495,0.000000,0.000000,0.000000
0.550,0.000000,0.016503,0.115452,-0.998097,3.051208,2.611628,11.327675,0.000000,0.000000,0.000000
0.560,0.000000,0.014924,0.110743,-0.995991,3.078444,2.487548,11.278446,0.000000,0.000000,0.000000
0.570,0.000000,0.019401,0.113443,-0.994522,3.123060,2.190287,11.252537,0.000000,0.000000,0.000000
0.580,0.000000,0.024331,0.116310,-0.993127,3.145701,1.926202,11.229218,0.000000,0.000000,0.000000
0.590,0.000000,0.033340,0.120678,-0.992393,2.970566,1.960706,11.229218,0.000000,0.000000,0.000000
0.600,0.000000,0.041398,0.124438,-0.990804,2.790969,2.010072,11.223875,0.000000,0.000000,0.000000
0.610,0.000000,0.040897,0.122728,-0.981529,2.571218,2.193206,11.170435,0.000000,0.000000,0.000000
0.620,0.000000,0.039499,0.120921,-0.972729,2.376971,2.354576,11.122340,0.000000,0.000000,0.000000
0.630,0.000000,0.030017,0.118246,-0.968214,2.412264,2.320073,11.122340,0.000000,0.000000,0.000000
0.640,0.000000,0.021283,0.116446,-0.964577,2.461475,2.302954,11.125903,0.000000,0.000000,0.000000
0.650,0.000000,0.019281,0.122533,-0.968848,2.635944,2.442295,11.161529,0.000000,0.000000,0.000000
0.660,0.000000,0.017955,0.129303,-0.973752,2.829725,2.582432,11.195374,0.000000,0.000000,0.000000
0.670,0.000000,0.022710,0.142225,-0.984360,3.197309,2.729736,11.213186,0.000000,0.000000,0.000000
0.680,0.000000,0.026939,0.154224,-0.994579,3.543118,2.850100,11.225656,0.000000,0.000000,0.000000
0.690,0.000000,0.026438,0.157931,-1.001298,3.692948,2.728011,11.190030,0.000000,0.000000,0.000000
0.700,0.000000,0.025813,0.159933,-1.007271,3.792835,2.616405,11.151003,0.000000,0.000000,0.000000
0.710,0.000000,0.024061,0.146595,-1.006537,3.443231,2.599153,11.081370,0.000000,0.000000,0.000000
0.720,0.000000,0.023207,0.133252,-1.006657,3.112072,2.564384,11.027445,0.000000,0.000000,0.000000
0.730,0.000000,0.030437,0.119870,-1.014463,2.946926,2.371961,11.114891,0.000000,0.000000,0.000000
0.740,0.000000,0.036296,0.107923,-1.019781,2.794765,2.218287,11.193592,0.000000,0.000000,0.000000
0.750,0.000000,0.029817,0.108891,-1.002699,2.759471,2.413365,11.193592,0.000000,0.000000,0.000000
0.760,0.000000,0.023836,0.110382,-0.987007,2.704733,2.609902,11.204118,0.000000,0.000000,0.000000
0.770,0.000000,0.022334,0.116578,-0.983824,2.474993,2.819578,11.309377,0.000000,0.000000,0.000000
0.780,0.000000,0.021333,0.122705,-0.980473,2.275219,3.022219,11.412692,0.000000,0.000000,0.000000
0.790,0.000000,0.024837,0.128207,-0.975604,2.345140,3.161560,11.498518,0.000000,0.000000,0.000000
0.800,0.000000,0.027389,0.134051,-0.972615,2.488578,3.242909,11.588231,0.000000,0.000000,0.000000
0.810,0.000000,0.021383,0.142973,-0.986542,3.293667,2.802326,11.712922,0.000000,0.000000,0.000000
